bus_line_id,driver_name,bus_color,bus_start_time,bus_end_time,bus_built_date,bus_route,bus_price(R$),bus_integrity,bus_company,bus_capacity
88,Jodi Hrinchishin,#fa0afc,3:13 AM,5:16 PM,2013-04-08,Copacabana-Barra da Tijuca,778901.23,0.62,Hyatt-Bergnaum,42
89,Almira Gowry,#6d7a94,12:47 AM,10:43 PM,2006-04-08,Centro-Jardim Botânico,1278901.23,0.63,"Kuhn, O'Connell and Weimann",48
90,Veronike Diack,#28d83c,5:17 PM,2:25 PM,2017-12-17,Urca-Lapa,512345.67,0.68,Nolan LLC,39
91,Carter Moylane,#f2e00b,3:37 PM,3:48 PM,2019-12-04,Centro-Barra da Tijuca,1378901.23,0.74,"Collins, Schuster and Raynor",57
92,Gran O'Hagirtie,#750406,4:57 AM,11:04 PM,2003-12-16,Lapa-Jardim Oceânico,1478901.23,0.69,Ankunding-Gerlach,50
93,Paulina Aylott,#203d3a,4:13 AM,6:13 AM,2019-02-19,Jardim Oceânico-Leme,889012.34,0.8,Powlowski Group,39
94,Salvidor Klimpke,#7e4910,6:31 AM,3:06 PM,2010-05-02,Botafogo-Leme,1156789.01,0.52,"Wilderman, Mante and Kuhn",60
95,Marrissa O'Spillane,#e36bf8,11:01 AM,11:24 AM,2005-04-06,Jardim Oceânico-Glória,1123456.78,0.52,"Wiza, Boyer and Littel",40
96,Dahlia South,#91bfdf,4:13 PM,11:26 PM,2022-07-09,São Conrado-Urca,556789.01,0.63,Pacocha LLC,60
97,Godiva Marsh,#b2ccd5,5:35 PM,5:26 PM,2017-02-12,Lapa-Gávea,1267890.12,0.74,Pagac-Bednar,32
98,Shannen Andell,#2b06c0,12:46 AM,10:28 PM,2007-10-05,Barra da Tijuca-Leblon,1434567.89,0.68,Schamberger-Macejkovic,43
99,Abbi Mochar,#774fa9,2:24 AM,12:06 PM,2020-11-10,Leme-Botafogo,823456.78,0.99,Kihn and Sons,60
100,Meris Boake,#70d35b,10:44 AM,7:11 PM,2006-03-09,Lapa-Copacabana,1078901.23,0.52,Beer-Becker,49
101,Tamera Lambarth,#8192a6,12:20 PM,4:32 PM,2005-07-27,Leblon-Lapa,1067890.12,0.62,"Heller, Durgan and Hand",42
102,Cal Peaker,#f9d9d5,10:48 AM,7:52 PM,2021-03-11,rota não atribuída,534567.89,0.51,"Casper, Gibson and Hayes",48
103,Elsbeth Martinat,#1e2d46,7:26 AM,3:50 PM,2022-02-27,Largo do Machado-Barra da Tijuca,1289012.34,0.58,"Kuhlman, Parisian and Bailey",42
104,Micaela Shervil,#0a87a5,8:30 AM,4:34 PM,2019-12-08,Largo do Machado-Glória,712345.67,0.6,Prohaska-Kuhic,33
105,Hildy Penfold,#d54eba,5:06 PM,4:12 PM,2002-10-20,Leme-Botafogo,1156789.01,0.62,Koepp-Walter,39
106,Valma Pillifant,#02f681,4:06 PM,12:33 PM,2010-10-16,São Conrado-Glória,1412345.67,0.74,"Abshire, Schroeder and Aufderhar",30
107,Shane Mahmood,#0c96cc,12:16 AM,8:32 PM,2006-06-06,Gávea-Lapa,1067890.12,0.58,Schuppe Group,60
108,Madelaine Havill,#1fb437,2:09 AM,3:04 PM,2004-05-11,São Conrado-Urca,790123.45,0.51,Towne-Jacobs,55
109,Amalie Bickerdike,#f37e47,8:10 AM,8:47 PM,2006-12-25,Centro-Barra da Tijuca,1490123.45,0.54,Botsford-Toy,58
110,Sigmund Drake,#0a2533,8:36 AM,2:41 PM,2017-06-30,Botafogo-Jardim Oceânico,934567.89,0.57,Harber-Ortiz,51
111,motorista não atribuído,#41d328,5:48 PM,8:10 PM,2003-02-20,Largo do Machado-Jardim Botânico,1190123.45,0.68,Ruecker-Hammes,49
112,Drud Bromfield,#3ea798,1:15 AM,11:29 PM,2004-02-12,rota não atribuída,734567.89,0.63,Torp-Lakin,54
113,Daron Brankley,#d1f007,5:27 AM,8:55 AM,2004-02-17,Barra da Tijuca-Jardim Botânico,1423456.78,0.57,Kirlin Group,35
114,Chandra Leverson,#82273e,1:43 PM,5:32 PM,2005-05-13,Leblon-Botafogo,1190123.45,0.51,"Kunze, Hermiston and Willms",58
115,Pietra Van Hesteren,#d6e88e,7:31 AM,8:34 AM,2014-05-15,Leme-São Conrado,1256789.01,0.58,Nitzsche-Glover,59
116,motorista não atribuído,#7f9d53,4:00 PM,1:52 PM,2014-09-27,Flamengo-Copacabana,1156789.01,0.69,Rodriguez-Langworth,46
117,motorista não atribuído,#da9168,12:58 AM,4:44 PM,2015-04-26,Barra da Tijuca-Jardim Botânico,590123.45,0.71,Schmeler and Sons,31
118,Giacopo Ivanikhin,#e07fc2,10:32 AM,6:59 AM,2021-07-02,Lapa-Jardim Oceânico,545678.9,0.73,Kozey-Stehr,54
119,Alexis Luggar,#b61e41,2:39 AM,12:43 PM,2005-09-29,rota não atribuída,967890.12,0.8,"Denesik, Funk and Farrell",45
120,Earl Handscomb,#367107,9:43 AM,5:52 PM,2014-11-17,Ipanema-Jardim Botânico,1245678.9,0.62,Hodkiewicz and Sons,45
121,Kala Gonzalo,#26f4a6,8:33 AM,12:09 PM,2008-02-18,Botafogo-Jardim Botânico,667890.12,0.84,Turner Group,34
122,Erma Duffit,#cc1665,4:58 AM,10:57 AM,2017-06-24,Lapa-Leblon,1345678.9,0.74,Kuhic-Emmerich,37
123,Lee Stothert,#7e4653,12:37 PM,6:21 AM,2006-10-29,Centro-Jardim Botânico,534567.89,0.73,Lindgren-Borer,40
124,Kimberlee Tirkin,#701226,9:08 AM,6:36 AM,2019-08-25,Glória-Leme,912345.67,0.57,Rice Inc,35
125,motorista não atribuído,#415974,10:11 AM,4:03 PM,2011-04-17,Copacabana-Barra da Tijuca,1289012.34,0.69,Kuvalis Group,37
126,motorista não atribuído,#6cf3d3,10:28 AM,8:24 AM,2014-05-05,Flamengo-Largo do Machado,789012.34,0.63,"Watsica, Predovic and Reichel",49
127,Mabelle Manntschke,#0f95f3,1:26 PM,2:57 PM,2017-12-30,Lapa-Leblon,956789.01,0.95,Rath-Bogan,42
128,Dorri Bugg,#7f6b63,11:48 AM,11:27 AM,2023-02-17,Jardim Botânico-Ipanema,790123.45,0.8,Wyman-Ullrich,56
129,Ulises Provis,#e5ed93,9:52 AM,12:26 PM,2002-07-14,Botafogo-Centro,1278901.23,0.765,Murray and Sons,54
130,Beniamino Oxley,#df0f42,12:20 AM,12:07 PM,2004-01-20,São Conrado-Glória,1145678.9,0.73,Grimes and Sons,40
131,motorista não atribuído,#7efc8e,3:00 AM,11:49 PM,2008-01-25,Urca-Lapa,1390123.45,0.9,Okuneva-Grady,56
132,Matty Sobey,#cbbea5,6:27 AM,4:14 PM,2019-10-15,Jardim Oceânico-Copacabana,1456789.01,0.99,Schinner-Rath,56
133,Harrietta Holdey,#014e88,10:31 AM,3:53 PM,2020-12-31,Flamengo-Copacabana,712345.67,0.58,Dach Group,33
134,Randolph Shoulders,#8e6231,10:51 AM,11:15 PM,2005-08-06,Urca-Largo do Machado,667890.12,0.51,Powlowski LLC,30
135,Kerry Willson,#eb54e3,1:52 AM,10:11 PM,2020-03-27,Leme-Urca,1245678.9,0.54,Boehm-Hammes,43
136,motorista não atribuído,#39ffbd,12:48 PM,4:24 PM,2016-02-05,Copacabana-Lapa,1445678.9,0.57,Kling-Von,35
137,Bennie Gildersleeve,#ec5e25,6:33 AM,6:53 PM,2011-11-24,Flamengo-Largo do Machado,1490123.45,0.74,"Fisher, Gusikowski and Ryan",48
138,Darci McDermid,#515d26,7:09 AM,6:16 PM,2002-11-10,Jardim Oceânico-Leme,712345.67,0.8,O'Keefe-Adams,39
139,Elvyn Bendley,#1ce357,9:03 AM,11:09 PM,2018-08-21,Centro-Jardim Botânico,778901.23,0.84,Russel and Sons,41
140,Lyndel Massingberd,#63f3bf,1:49 PM,8:43 PM,2004-06-10,Flamengo-Largo do Machado,1312345.67,0.57,Barton-Rosenbaum,35
141,Natal Jerromes,#b83947,1:14 PM,10:53 PM,2021-07-19,Leblon-Lapa,589012.34,0.69,Harber Inc,36
142,Larissa McKimmey,#efa304,1:29 AM,4:56 PM,2010-02-23,Barra da Tijuca-Centro,967890.12,0.9,"Schmidt, Cruickshank and Willms",43
143,Colet Trevear,#ad7873,4:03 PM,10:26 AM,2015-10-03,Leme-São Conrado,778901.23,0.8,Hermiston LLC,33
144,motorista não atribuído,#6682a4,3:18 AM,3:12 PM,2017-10-29,Botafogo-Jardim Botânico,1090123.45,0.63,"Kreiger, Rowe and Schmidt",58
145,Man McEttigen,#b48650,2:53 AM,3:36 PM,2005-05-24,Largo do Machado-Barra da Tijuca,834567.89,0.95,"Cole, Marvin and Reilly",33
146,Margarette Inmett,#bdde9f,8:47 AM,8:27 PM,2007-09-17,Urca-Largo do Machado,1290123.45,0.8,Pouros-Ferry,57
147,motorista não atribuído,#82d897,1:28 PM,12:31 PM,2017-08-06,Glória-Jardim Oceânico,589012.34,0.79,Walker Group,56
148,Sandro Johnys,#b0bc48,7:30 AM,2:05 PM,2022-11-03,Ipanema-Lapa,1401234.56,0.79,Willms and Sons,41
149,Cassaundra Buckenhill,#437a44,6:22 AM,12:52 PM,2003-04-08,Gávea-Copacabana,689012.34,0.68,Greenfelder-Kilback,47
150,Micah Crilly,#7285d3,1:05 PM,9:02 AM,2004-11-29,Barra da Tijuca-Leblon,889012.34,0.52,Jacobi-Powlowski,41
151,Simonette McNulty,#50a2c4,4:59 PM,10:48 PM,2008-09-04,Gávea-Lapa,1223456.78,0.84,Weber and Sons,58
152,Brittne Chown,#4e1f30,2:10 AM,12:10 PM,2009-01-21,rota não atribuída,1112345.67,0.95,Ondricka and Sons,43
153,Ardine Schiefersten,#496cb7,10:47 AM,9:53 PM,2017-06-23,Jardim Oceânico-Glória,956789.01,0.74,"Lehner, Okuneva and Konopelski",40
154,Ravid Lucey,#99c146,5:31 PM,2:17 PM,2016-03-18,Flamengo-Copacabana,689012.34,0.845,Swaniawski-Reichert,34
155,Bay Scoffins,#5f040e,9:47 AM,6:48 AM,2016-01-08,Glória-Jardim Oceânico,1045678.9,0.95,Hamill-Kling,57
156,Selby Pinniger,#480fc1,7:22 AM,7:40 AM,2009-08-08,Leblon-Botafogo,623456.78,0.79,Gusikowski-Runte,36
157,Carmon Grishankov,#dc671b,4:40 PM,9:53 PM,2013-02-28,Centro-Barra da Tijuca,1067890.12,0.63,Bogisich-Cremin,58
158,Tomaso Leaney,#47285c,12:15 AM,11:44 PM,2002-12-18,Leblon-São Conrado,878901.23,0.5700000000000001,"Hamill, Romaguera and Labadie",41
159,Batsheva Jeandot,#79eece,12:13 PM,12:46 PM,2016-11-23,rota não atribuída,678901.23,0.51,Nader-Goodwin,48
160,motorista não atribuído,#96a10d,3:33 AM,11:54 AM,2010-08-31,Jardim Botânico-Ipanema,1023456.78,0.57,Blanda-Ledner,45
161,Carney Swansborough,#703b54,2:07 AM,10:47 AM,2005-09-24,Botafogo-Centro,567890.12,0.8,Cruickshank LLC,59
162,Nerty Robbie,#e3cc1a,6:01 AM,12:53 PM,2020-01-24,rota não atribuída,1356789.01,0.58,"Beatty, Abshire and Lemke",40
163,motorista não atribuído,#7a07b5,2:57 AM,10:53 AM,2015-12-27,Jardim Oceânico-Leme,767890.12,0.79,"Runte, Jacobi and Heidenreich",59
164,Quinn Terne,#36a326,3:39 PM,10:42 AM,2019-01-11,Flamengo-Copacabana,1356789.01,0.69,Jacobs LLC,59
165,Maudie Balding,#049716,7:32 AM,8:54 AM,2016-11-11,Leblon-Largo do Machado,867890.12,0.58,Mohr LLC,59
166,Karna Sowray,#4de94a,9:24 AM,12:53 PM,2020-01-07,São Conrado-Largo do Machado,656789.01,0.69,"Dibbert, Hansen and Hahn",58
167,Koo Mabbe,#51b319,6:37 AM,5:10 PM,2005-10-22,Gávea-Lapa,1356789.01,0.51,"Gusikowski, Smith and Prosacco",30
168,Kally Jerrems,#8f8c5e,5:43 PM,8:50 AM,2013-12-14,rota não atribuída,701234.56,0.8,Fahey and Sons,45
169,Minetta De Bruijn,#f3bd1d,2:35 PM,8:31 PM,2012-09-02,Largo do Machado-Barra da Tijuca,1223456.78,0.74,Hammes-Stark,47
170,Batsheva Longina,#0c77dc,6:04 AM,11:45 PM,2013-06-12,Botafogo-Jardim Oceânico,745678.9,0.9,"Rath, Zemlak and Wintheiser",60
171,Marvin Josebury,#69584e,9:28 AM,7:37 AM,2021-03-09,Copacabana-Lapa,1023456.78,0.79,"Feeney, Schneider and Leffler",34
172,Jorgan Wimsett,#e851c1,7:15 AM,6:17 PM,2003-10-28,Jardim Botânico-São Conrado,745678.9,0.52,Von-Jakubowski,46
173,Inger Janowicz,#0f16b6,5:23 PM,3:31 PM,2008-07-06,Urca-Largo do Machado,934567.89,0.99,Pagac and Sons,42
174,Earl Perry,#b54760,5:15 PM,6:31 PM,2004-09-25,Centro-Leme,1456789.01,0.62,"Rath, Gulgowski and Leuschke",52
175,Nixie Fold,#c6d264,5:28 PM,10:45 AM,2017-09-03,Barra da Tijuca-Jardim Botânico,1467890.12,0.8,Von-Greenfelder,45
176,Dorey Kupker,#6174af,2:21 AM,8:00 PM,2006-09-10,Barra da Tijuca-Leblon,790123.45,0.95,Sipes-Becker,50
177,Ravi Merricks,#609c82,3:12 AM,8:00 PM,2011-04-27,Leme-Botafogo,956789.01,0.58,Rolfson-West,33
178,motorista não atribuído,#e31285,12:36 AM,9:14 PM,2008-08-28,Lapa-Gávea,1490123.45,0.63,"Watsica, Stroman and Walsh",59
179,Ulberto O'Devey,#5f4859,9:46 AM,3:01 PM,2010-02-20,Jardim Oceânico-Lapa,967890.12,0.765,"Kunde, Jacobi and Hartmann",35
180,Shawn Basham,#1ece6a,4:12 PM,10:43 AM,2009-07-20,Ipanema-Lapa,945678.9,0.9,"Hodkiewicz, Dooley and Hahn",60
181,Larisa Sealey,#89880a,9:25 AM,6:07 AM,2015-09-16,Glória-Leme,1123456.78,0.95,Lakin-Lebsack,46
182,Yolanda Andell,#7e9ecb,3:42 PM,4:29 PM,2018-10-29,Jardim Botânico-Leblon,1489012.34,0.62,Hammes LLC,34
183,motorista não atribuído,#d02f4a,5:55 PM,4:50 PM,2013-06-15,São Conrado-Largo do Machado,634567.89,0.8,Parker and Sons,31
184,Maggie Priscott,#8aa56b,3:16 PM,8:04 PM,2019-05-20,Copacabana-Barra da Tijuca,1434567.89,0.95,"Willms, Considine and O'Conner",31
185,Merell Dory,#3025f9,11:45 AM,12:59 PM,2016-06-15,rota não atribuída,978901.23,0.73,Bosco-Harber,57
186,Natividad Houlison,#2a1dc7,7:16 AM,5:22 PM,2015-12-27,Ipanema-Gávea,1189012.34,0.58,Zieme and Sons,49
187,Felita Diano,#f931a4,5:18 PM,12:32 PM,2020-05-25,Barra da Tijuca-Jardim Botânico,1467890.12,0.52,Kris Inc,50
188,Felicdad Blackleech,#855c83,9:51 AM,5:46 PM,2015-04-14,Gávea-Lapa,1212345.67,0.5566666666666666,"Larson, Tillman and Hamill",33
